,Colony,Distance,Mass,Headwidth,Headwidth..mm.,Size.class
609,8,1,99,22,1.853,>43
610,8,4,88,22,1.853,>43
611,8,4,56,13,1.516,35-39
612,8,4,108,18,1.726,40-43
613,8,4,98,18,1.726,40-43
614,8,4,23,6,1.221,<30
615,8,4,162,22,1.853,>43
616,8,4,35,5,1.179,<30
617,8,4,113,23,1.895,>43
618,8,4,67,12,1.474,35-39
619,8,4,58,10,1.389,30-34
620,8,4,104,21,1.811,40-43
621,8,4,121,22,1.853,>43
622,8,4,130,23,1.895,>43
623,8,4,118,16,1.642,35-39
624,8,4,140,25,1.979,>43
625,8,4,94,17,1.684,40-43
626,8,4,111,24,1.937,>43
627,8,4,115,15,1.6,35-39
628,8,4,164,20,1.768,40-43
629,8,4,147,NA,NA,Unknown
630,8,4,152,23,1.895,>43
631,8,4,148,22,1.853,>43
632,8,7,97,21,1.811,40-43
633,8,7,95,21,1.811,40-43
634,8,7,90,18,1.726,40-43
635,8,7,95,17,1.684,40-43
636,8,7,88,22,1.853,>43
637,8,7,83,18,1.726,40-43
638,8,7,86,14,1.558,35-39
639,8,7,88,17,1.684,40-43
640,8,7,111,20,1.768,40-43
641,8,7,102,24,1.937,>43
642,8,7,64,14,1.558,35-39
643,8,7,84,18,1.726,40-43
644,8,7,112,20,1.768,40-43
645,8,7,85,20,1.768,40-43
646,8,7,74,11,1.432,30-34
647,8,7,77,20,1.768,40-43
648,8,7,44,13,1.516,35-39
649,8,7,62,16,1.642,35-39
650,8,7,74,15,1.6,35-39
651,8,7,74,15,1.6,35-39
652,8,10,67,13,1.516,35-39
653,8,10,72,15,1.6,35-39
654,8,10,110,20,1.768,40-43
655,8,10,112,23,1.895,>43
656,8,10,136,23,1.895,>43
657,8,10,64,18,1.726,40-43
658,8,10,77,18,1.726,40-43
659,8,10,95,20,1.768,40-43
660,8,10,90,12,1.474,35-39
661,8,10,110,24,1.937,>43
662,8,10,139,24,1.937,>43
663,8,10,142,22,1.853,>43
664,8,10,73,13,1.516,35-39
665,8,10,106,17,1.684,40-43
666,8,10,80,16,1.642,35-39
667,8,10,119,20,1.768,40-43
668,8,10,119,23,1.895,>43
669,8,10,97,20,1.768,40-43
670,8,10,109,21,1.811,40-43
671,8,10,113,21,1.811,40-43
672,8,10,108,22,1.853,>43
673,8,10,99,20,1.768,40-43
674,8,10,93,17,1.684,40-43
675,9,1,139,21,1.811,40-43
676,9,1,153,22,1.853,>43
677,9,1,123,20,1.768,40-43
678,9,1,70,13,1.516,35-39
679,9,1,77,13,1.516,35-39
680,9,1,89,13,1.516,35-39
681,9,1,51,6,1.221,<30
682,9,1,116,20,1.768,40-43
683,9,1,105,16,1.642,35-39
684,9,1,106,17,1.684,40-43
685,9,1,74,13,1.516,35-39
686,9,1,80,14,1.558,35-39
687,9,1,30,3,1.095,<30
688,9,1,110,21,1.811,40-43
689,9,1,60,8,1.305,30-34
690,9,1,80,18,1.726,40-43
691,9,1,43,6,1.221,<30
692,9,1,111,23,1.895,>43
693,9,1,108,16,1.642,35-39
694,9,1,48,7,1.263,30-34
695,9,1,88,16,1.642,35-39
696,9,1,54,9,1.347,30-34
697,9,1,78,13,1.516,35-39
698,9,1,37,8,1.305,30-34
699,9,1,25,4,1.137,<30
700,9,1,121,24,1.937,>43
701,9,1,71,14,1.558,35-39
702,9,1,39,6,1.221,<30
703,9,4,139,23,1.895,>43
704,9,4,86,13,1.516,35-39
705,9,4,132,20,1.768,40-43
706,9,4,137,25,1.979,>43
707,9,4,159,21,1.811,40-43
708,9,4,120,23,1.895,>43
709,9,4,77,11,1.432,30-34
710,9,4,67,12,1.474,35-39
711,9,4,104,23,1.895,>43
712,9,4,83,17,1.684,40-43
713,9,4,122,23,1.895,>43
714,9,4,114,22,1.853,>43
715,9,4,50,8,1.305,30-34
716,9,4,147,24,1.937,>43
717,9,4,78,14,1.558,35-39
718,9,4,56,9,1.347,30-34
719,9,4,34,4,1.137,<30
720,9,4,92,16,1.642,35-39
721,9,4,41,7,1.263,30-34
722,9,4,75,14,1.558,35-39
723,9,4,89,15,1.6,35-39
724,9,4,121,NA,NA,Unknown
725,9,7,129,24,1.937,>43
726,9,7,86,15,1.6,35-39
727,9,7,129,25,1.979,>43
728,9,7,99,16,1.642,35-39
729,9,7,112,23,1.895,>43
730,9,7,74,17,1.684,40-43
731,9,7,122,22,1.853,>43
732,9,7,126,25,1.979,>43
733,9,7,89,16,1.642,35-39
734,9,7,94,16,1.642,35-39
735,9,7,111,21,1.811,40-43
736,9,7,103,20,1.768,40-43
737,9,7,65,14,1.558,35-39
738,9,7,58,13,1.516,35-39
739,9,7,113,14,1.558,35-39
740,9,7,109,20,1.768,40-43
741,9,7,76,21,1.811,40-43
742,9,7,59,13,1.516,35-39
743,9,7,89,18,1.726,40-43
744,9,7,65,14,1.558,35-39
745,9,7,56,12,1.474,35-39
746,9,7,130,23,1.895,>43
747,9,7,89,18,1.726,40-43
748,9,7,109,21,1.811,40-43
749,9,7,115,23,1.895,>43
750,9,7,136,25,1.979,>43
751,9,7,71,15,1.6,35-39
752,9,7,97,18,1.726,40-43
753,9,7,113,24,1.937,>43
754,9,7,53,11,1.432,30-34
755,9,7,126,23,1.895,>43
756,9,7,59,11,1.432,30-34
757,9,7,114,24,1.937,>43
758,9,10,118,20,1.768,40-43
759,9,10,84,14,1.558,35-39
760,9,10,124,23,1.895,>43
761,9,10,112,22,1.853,>43
762,9,10,111,18,1.726,40-43
763,9,10,98,16,1.642,35-39
764,9,10,73,14,1.558,35-39
765,9,10,111,18,1.726,40-43
766,9,10,144,22,1.853,>43
767,9,10,108,17,1.684,40-43
768,9,10,114,14,1.558,35-39
769,9,10,45,8,1.305,30-34
770,9,10,136,22,1.853,>43
771,9,10,55,12,1.474,35-39
772,9,10,92,17,1.684,40-43
773,9,10,153,24,1.937,>43
774,9,10,121,17,1.684,40-43
775,9,10,123,23,1.895,>43
776,9,10,163,24,1.937,>43
777,9,10,90,18,1.726,40-43
778,9,10,114,24,1.937,>43
779,9,10,118,21,1.811,40-43
780,9,10,95,15,1.6,35-39
781,10,1,123,21,1.811,40-43
782,10,1,119,21,1.811,40-43
783,10,1,125,24,1.937,>43
784,10,1,87,15,1.6,35-39
785,10,1,168,26,2.021,>43
786,10,1,111,23,1.895,>43
787,10,1,64,12,1.474,35-39
788,10,1,74,12,1.474,35-39
789,10,1,79,15,1.6,35-39
790,10,1,91,18,1.726,40-43
791,10,1,117,22,1.853,>43
792,10,1,145,25,1.979,>43
793,10,1,108,17,1.684,40-43
794,10,1,112,23,1.895,>43
795,10,1,62,16,1.642,35-39
796,10,1,140,21,1.811,40-43
797,10,1,144,24,1.937,>43
798,10,1,172,18,1.726,40-43
799,10,1,38,7,1.263,30-34
800,10,1,147,21,1.811,40-43
801,10,4,123,23,1.895,>43
802,10,4,73,12,1.474,35-39
803,10,4,139,24,1.937,>43
804,10,4,77,13,1.516,35-39
805,10,4,98,20,1.768,40-43
806,10,4,69,12,1.474,35-39
807,10,4,91,18,1.726,40-43
808,10,4,119,24,1.937,>43
809,10,4,109,22,1.853,>43
810,10,4,103,21,1.811,40-43
811,10,4,99,20,1.768,40-43
812,10,4,108,21,1.811,40-43
813,10,4,57,11,1.432,30-34
814,10,4,97,15,1.6,35-39
815,10,4,81,12,1.474,35-39
816,10,4,106,20,1.768,40-43
817,10,4,124,24,1.937,>43
818,10,4,86,18,1.726,40-43
819,10,4,86,20,1.768,40-43
820,10,4,66,10,1.389,30-34
821,10,4,82,14,1.558,35-39
822,10,7,105,18,1.726,40-43
823,10,7,66,16,1.642,35-39
824,10,7,97,18,1.726,40-43
825,10,7,59,10,1.389,30-34
826,10,7,108,21,1.811,40-43
827,10,7,109,18,1.726,40-43
828,10,7,115,22,1.853,>43
829,10,7,112,20,1.768,40-43
830,10,7,69,12,1.474,35-39
831,10,7,80,16,1.642,35-39
832,10,7,103,20,1.768,40-43
833,10,7,104,23,1.895,>43
834,10,7,119,23,1.895,>43
835,10,7,126,21,1.811,40-43
836,10,7,74,12,1.474,35-39
837,10,7,107,20,1.768,40-43
838,10,7,120,20,1.768,40-43
839,10,7,111,18,1.726,40-43
840,10,7,54,9,1.347,30-34
841,10,7,109,23,1.895,>43
842,10,7,127,23,1.895,>43
843,10,7,99,18,1.726,40-43
844,10,7,90,18,1.726,40-43
845,10,7,103,21,1.811,40-43
846,10,7,165,25,1.979,>43
847,10,7,83,14,1.558,35-39
848,10,7,121,24,1.937,>43
849,10,7,80,15,1.6,35-39
850,10,7,83,16,1.642,35-39
851,10,7,111,21,1.811,40-43
852,10,7,110,21,1.811,40-43
853,10,7,69,12,1.474,35-39
854,10,7,125,21,1.811,40-43
855,10,7,104,18,1.726,40-43
856,10,7,117,22,1.853,>43
857,10,10,123,22,1.853,>43
858,10,10,114,23,1.895,>43
859,10,10,132,23,1.895,>43
860,10,10,112,22,1.853,>43
861,10,10,104,18,1.726,40-43
862,10,10,100,22,1.853,>43
863,10,10,72,20,1.768,40-43
864,10,10,88,20,1.768,40-43
865,10,10,57,15,1.6,35-39
866,10,10,82,20,1.768,40-43
867,10,10,79,17,1.684,40-43
868,10,10,83,21,1.811,40-43
869,10,10,68,14,1.558,35-39
870,10,10,111,24,1.937,>43
871,10,10,68,12,1.474,35-39
872,10,10,105,16,1.642,35-39
873,10,10,98,16,1.642,35-39
874,10,10,99,18,1.726,40-43
875,10,10,145,23,1.895,>43
876,10,10,97,20,1.768,40-43
877,10,10,133,20,1.768,40-43
878,10,10,93,21,1.811,40-43
879,10,10,121,23,1.895,>43
880,11,1,70,14,1.558,35-39
881,11,1,81,17,1.684,40-43
882,11,1,127,24,1.937,>43
883,11,1,110,21,1.811,40-43
884,11,1,61,7,1.263,30-34
885,11,1,144,24,1.937,>43
886,11,1,150,17,1.684,40-43
887,11,1,94,17,1.684,40-43
888,11,1,136,17,1.684,40-43
889,11,1,176,20,1.768,40-43
890,11,1,39,3,1.095,<30
891,11,1,91,14,1.558,35-39
892,11,1,152,20,1.768,40-43
893,11,1,39,4,1.137,<30
894,11,1,93,15,1.6,35-39
895,11,1,71,10,1.389,30-34
896,11,1,90,16,1.642,35-39
897,11,1,114,21,1.811,40-43
898,11,1,40,3,1.095,<30
899,11,1,145,23,1.895,>43
900,11,1,40,5,1.179,<30
901,11,1,126,23,1.895,>43
902,11,1,106,17,1.684,40-43
903,11,4,84,14,1.558,35-39
904,11,4,72,17,1.684,40-43
905,11,4,122,23,1.895,>43
906,11,4,119,25,1.979,>43
907,11,4,65,13,1.516,35-39
908,11,4,69,14,1.558,35-39
909,11,4,106,18,1.726,40-43
910,11,4,89,15,1.6,35-39
911,11,4,93,17,1.684,40-43
912,11,4,96,17,1.684,40-43
913,11,4,99,20,1.768,40-43
914,11,4,95,18,1.726,40-43
915,11,4,109,22,1.853,>43
916,11,4,82,16,1.642,35-39
917,11,4,94,15,1.6,35-39
918,11,4,106,15,1.6,35-39
919,11,4,120,18,1.726,40-43
920,11,4,29,2,1.053,<30
921,11,4,109,17,1.684,40-43
922,11,4,95,20,1.768,40-43
923,11,4,66,12,1.474,35-39
924,11,4,43,3,1.095,<30
925,11,4,81,17,1.684,40-43
926,11,4,48,9,1.347,30-34
927,11,4,45,8,1.305,30-34
928,11,7,102,18,1.726,40-43
929,11,7,130,20,1.768,40-43
930,11,7,104,20,1.768,40-43
931,11,7,104,23,1.895,>43
932,11,7,99,15,1.6,35-39
933,11,7,92,20,1.768,40-43
934,11,7,79,14,1.558,35-39
935,11,7,66,12,1.474,35-39
936,11,7,123,24,1.937,>43
937,11,7,76,17,1.684,40-43
938,11,7,52,11,1.432,30-34
939,11,7,67,12,1.474,35-39
940,11,7,110,21,1.811,40-43
941,11,7,74,15,1.6,35-39
942,11,7,59,14,1.558,35-39
943,11,7,91,20,1.768,40-43
944,11,7,54,14,1.558,35-39
945,11,7,112,18,1.726,40-43
946,11,7,127,23,1.895,>43
947,11,7,107,23,1.895,>43
948,11,7,115,24,1.937,>43
949,11,7,90,20,1.768,40-43
950,11,7,56,11,1.432,30-34
951,11,7,137,24,1.937,>43
952,11,7,106,22,1.853,>43
953,11,10,53,10,1.389,30-34
954,11,10,89,17,1.684,40-43
955,11,10,95,18,1.726,40-43
956,11,10,78,14,1.558,35-39
957,11,10,50,10,1.389,30-34
958,11,10,52,10,1.389,30-34
959,11,10,90,18,1.726,40-43
960,11,10,136,23,1.895,>43
961,11,10,100,18,1.726,40-43
962,11,10,116,18,1.726,40-43
963,11,10,38,5,1.179,<30
964,11,10,113,23,1.895,>43
965,11,10,89,15,1.6,35-39
966,11,10,48,9,1.347,30-34
967,11,10,106,20,1.768,40-43
968,11,10,108,18,1.726,40-43
969,11,10,86,14,1.558,35-39
970,11,10,110,20,1.768,40-43
971,11,10,90,15,1.6,35-39
972,11,10,94,17,1.684,40-43
973,11,10,28,3,1.095,<30
974,11,10,116,24,1.937,>43
975,11,10,78,15,1.6,35-39
976,11,10,116,18,1.726,40-43
977,11,10,70,12,1.474,35-39
978,11,10,99,15,1.6,35-39
979,11,10,118,21,1.811,40-43
980,11,10,103,18,1.726,40-43
981,11,10,114,24,1.937,>43
982,11,10,98,21,1.811,40-43
983,11,10,61,12,1.474,35-39
984,11,10,77,14,1.558,35-39
985,11,10,53,9,1.347,30-34
986,11,10,132,23,1.895,>43
987,11,10,98,20,1.768,40-43
988,1,0,163,24,1.937,>43
989,1,0,102,16,1.642,35-39
990,1,0,144,26,2.021,>43
991,1,0,115,21,1.811,40-43
992,1,0,108,21,1.811,40-43
993,1,0,68,11,1.432,30-34
994,1,0,107,20,1.768,40-43
995,1,0,141,20,1.768,40-43
996,1,0,111,20,1.768,40-43
997,1,0,55,9,1.347,30-34
998,1,0,112,20,1.768,40-43
999,1,0,100,16,1.642,35-39
1000,2,0,116,21,1.811,40-43
1001,2,0,71,12,1.474,35-39
1002,2,0,146,24,1.937,>43
1003,2,0,119,23,1.895,>43
1004,2,0,97,20,1.768,40-43
1005,2,0,43,7,1.263,30-34
1006,2,0,127,23,1.895,>43
1007,2,0,106,21,1.811,40-43
1008,2,0,79,12,1.474,35-39
1009,2,0,127,23,1.895,>43
1010,2,0,114,22,1.853,>43
1011,2,0,85,17,1.684,40-43
1012,3,0,90,13,1.516,35-39
1013,3,0,149,23,1.895,>43
1014,3,0,116,18,1.726,40-43
1015,3,0,142,25,1.979,>43
1016,3,0,90,14,1.558,35-39
1017,3,0,73,14,1.558,35-39
1018,3,0,151,23,1.895,>43
1019,3,0,135,21,1.811,40-43
1020,3,0,90,18,1.726,40-43
1021,3,0,81,16,1.642,35-39
1022,3,0,64,11,1.432,30-34
1023,3,0,54,6,1.221,<30
1024,4,0,56,8,1.305,30-34
1025,4,0,75,15,1.6,35-39
1026,4,0,139,24,1.937,>43
1027,4,0,127,25,1.979,>43
1028,4,0,96,14,1.558,35-39
1029,4,0,52,10,1.389,30-34
1030,4,0,94,23,1.895,>43
1031,4,0,119,18,1.726,40-43
1032,4,0,99,22,1.853,>43
1033,4,0,117,23,1.895,>43
1034,4,0,103,22,1.853,>43
1035,4,0,80,16,1.642,35-39
1036,6,0,130,21,1.811,40-43
1037,6,0,102,17,1.684,40-43
1038,6,0,106,21,1.811,40-43
1039,6,0,38,4,1.137,<30
1040,6,0,49,8,1.305,30-34
1041,6,0,120,18,1.726,40-43
1042,6,0,113,21,1.811,40-43
1043,6,0,65,13,1.516,35-39
1044,6,0,126,23,1.895,>43
1045,6,0,91,16,1.642,35-39
1046,6,0,82,14,1.558,35-39
1047,6,0,158,26,2.021,>43
1048,7,0,122,24,1.937,>43
1049,7,0,56,10,1.389,30-34
1050,7,0,144,23,1.895,>43
1051,7,0,74,17,1.684,40-43
1052,7,0,112,23,1.895,>43
1053,7,0,53,7,1.263,30-34
1054,7,0,104,21,1.811,40-43
1055,7,0,72,15,1.6,35-39
1056,7,0,106,17,1.684,40-43
1057,7,0,92,20,1.768,40-43
1058,7,0,98,23,1.895,>43
1059,7,0,47,7,1.263,30-34
1060,8,0,106,22,1.853,>43
1061,8,0,80,16,1.642,35-39
1062,8,0,121,26,2.021,>43
1063,8,0,75,14,1.558,35-39
1064,8,0,83,18,1.726,40-43
1065,8,0,53,9,1.347,30-34
1066,8,0,108,23,1.895,>43
1067,8,0,41,4,1.137,<30
1068,8,0,117,24,1.937,>43
1069,8,0,41,7,1.263,30-34
1070,8,0,127,25,1.979,>43
1071,8,0,90,17,1.684,40-43
1072,9,0,136,24,1.937,>43
1073,9,0,86,16,1.642,35-39
1074,9,0,91,18,1.726,40-43
1075,9,0,77,13,1.516,35-39
1076,9,0,126,22,1.853,>43
1077,9,0,64,10,1.389,30-34
1078,9,0,131,26,2.021,>43
1079,9,0,48,7,1.263,30-34
1080,9,0,147,23,1.895,>43
1081,9,0,70,10,1.389,30-34
1082,9,0,161,23,1.895,>43
1083,9,0,29,2,1.053,<30
1084,10,0,90,17,1.684,40-43
1085,10,0,122,24,1.937,>43
1086,10,0,113,22,1.853,>43
1087,10,0,47,7,1.263,30-34
1088,10,0,125,23,1.895,>43
1089,10,0,88,17,1.684,40-43
1090,10,0,122,21,1.811,40-43
1091,10,0,80,14,1.558,35-39
1092,10,0,113,25,1.979,>43
1093,10,0,44,8,1.305,30-34
1094,10,0,86,15,1.6,35-39
1095,10,0,32,3,1.095,<30
1096,11,0,123,23,1.895,>43
1097,11,0,88,18,1.726,40-43
1098,11,0,153,24,1.937,>43
1099,11,0,83,18,1.726,40-43
1100,11,0,112,22,1.853,>43
1101,11,0,34,6,1.221,<30
1102,11,0,107,22,1.853,>43
1103,11,0,56,11,1.432,30-34
1104,11,0,121,23,1.895,>43
1105,11,0,53,10,1.389,30-34
1106,11,0,189,22,1.853,>43
1107,11,0,75,16,1.642,35-39
1108,5,0,132,25,1.979,>43
1109,5,0,64,14,1.558,35-39
1110,5,0,109,18,1.726,40-43
1111,5,0,59,10,1.389,30-34
1112,5,0,120,20,1.768,40-43
1113,5,0,56,14,1.558,35-39
1114,5,0,189,26,2.021,>43
1115,5,0,95,16,1.642,35-39
1116,5,0,135,25,1.979,>43
1117,5,0,110,18,1.726,40-43
1118,5,0,147,24,1.937,>43
1119,5,0,135,18,1.726,40-43
1120,5,1,159,23,1.895,>43
1121,5,1,61,12,1.474,35-39
1122,5,1,130,20,1.768,40-43
1123,5,1,136,20,1.768,40-43
1124,5,1,120,20,1.768,40-43
1125,5,1,107,21,1.811,40-43
1126,5,1,77,14,1.558,35-39
1127,5,1,114,20,1.768,40-43
1128,5,1,119,22,1.853,>43
1129,5,1,76,15,1.6,35-39
1130,5,1,120,21,1.811,40-43
1131,5,1,106,17,1.684,40-43
1132,5,1,118,21,1.811,40-43
1133,5,1,73,13,1.516,35-39
1134,5,1,122,21,1.811,40-43
1135,5,1,86,16,1.642,35-39
1136,5,1,85,16,1.642,35-39
1137,5,1,97,21,1.811,40-43
1138,5,1,91,14,1.558,35-39
1139,5,1,111,20,1.768,40-43
1140,5,1,84,NA,NA,Unknown
1141,5,1,118,23,1.895,>43
1142,5,1,74,13,1.516,35-39
1143,5,1,104,21,1.811,40-43
1144,5,1,130,22,1.853,>43
1145,5,1,87,13,1.516,35-39
1146,5,1,83,17,1.684,40-43
1147,5,1,72,14,1.558,35-39
1148,5,1,145,23,1.895,>43
1149,5,4,42,5,1.179,<30
1150,5,4,44,7,1.263,30-34
1151,5,4,103,17,1.684,40-43
1152,5,4,50,9,1.347,30-34
1153,5,4,28,6,1.221,<30
1154,5,4,108,23,1.895,>43
1155,5,4,118,20,1.768,40-43
1156,5,4,97,16,1.642,35-39
1157,5,4,96,16,1.642,35-39
1158,5,4,34,5,1.179,<30
1159,5,4,63,12,1.474,35-39
1160,5,4,110,24,1.937,>43
1161,5,4,80,13,1.516,35-39
1162,5,4,70,17,1.684,40-43
1163,5,4,73,13,1.516,35-39
1164,5,4,39,8,1.305,30-34
1165,5,4,105,20,1.768,40-43
1166,5,4,97,16,1.642,35-39
1167,5,4,78,13,1.516,35-39
1168,5,4,121,21,1.811,40-43
1169,5,4,80,24,1.937,>43
1170,5,4,83,20,1.768,40-43
1171,5,4,111,18,1.726,40-43
1172,5,4,110,22,1.853,>43
1173,5,4,69,9,1.347,30-34
1174,5,4,125,21,1.811,40-43
1175,5,4,104,21,1.811,40-43
1176,5,4,117,12,1.474,35-39
1177,5,7,87,17,1.684,40-43
1178,5,7,78,15,1.6,35-39
1179,5,7,81,13,1.516,35-39
1180,5,7,108,21,1.811,40-43
1181,5,7,58,15,1.6,35-39
1182,5,7,105,24,1.937,>43
1183,5,7,63,14,1.558,35-39
1184,5,7,109,18,1.726,40-43
1185,5,7,86,20,1.768,40-43
1186,5,7,125,23,1.895,>43
1187,5,7,75,13,1.516,35-39
1188,5,7,109,18,1.726,40-43
1189,5,7,80,21,1.811,40-43
1190,5,7,62,18,1.726,40-43
1191,5,7,139,24,1.937,>43
1192,5,7,92,21,1.811,40-43
1193,5,7,100,23,1.895,>43
1194,5,7,90,21,1.811,40-43
1195,5,7,75,18,1.726,40-43
1196,5,7,93,20,1.768,40-43
1197,5,7,135,23,1.895,>43
1198,5,7,132,21,1.811,40-43
1199,5,7,84,18,1.726,40-43
